1001, 2022-04-27, 1932, 955, Oil Change, 96.28, 1, 96.28
1002, 2022-02-02, 1935, 679, Car Repair, 99.97, 5, 499.85
1003, 2022-10-09, 1925, 421, Supplies, 123.32, 2, 246.64
1004, 2022-04-27, 1928, 540, Tire Replacement, 37.64, 4, 150.56
1005, 2022-05-22, 1928, 652, Supplies, 139.54, 3, 418.62
1006, 2023-09-27, 1932, 580, Car Repair, 31.94, 1, 31.94
1007, 2022-03-27, 1925, 503, Car Repair, 59.29, 1, 59.29
1008, 2022-07-19, 1924, 632, Tire Replacement, 93.68, 4, 374.72
1009, 2023-07-03, 1934, 805, Supplies, 155.06, 3, 465.18
1010, 2023-11-20, 1923, 812, Supplies, 113.91, 3, 341.73
